
Gurobi 11.0.3 (linux64) logging started Fri Nov 22 11:21:32 2024

Set parameter LogFile to value "/home/yihong/Coding/OR_SUC/SUC_results_bigM100000_thread4/case24_ieee_rts_theta0.1_epsilon0.05_gurobi_seed400000_num_gen100_N_WDR100_load_scaling_factor1_exact_T28quadra_cost.txt"
Set parameter TimeLimit to value 3600
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64 - "Ubuntu 20.04.6 LTS")

CPU model: AMD EPYC 7532 32-Core Processor, instruction set [SSE2|AVX|AVX2]
Thread count: 64 physical cores, 128 logical processors, using up to 4 threads

Optimize a model with 67335 rows, 34921 columns and 1546834 nonzeros
Model fingerprint: 0x895cf9ec
Model has 2800 quadratic constraints
Variable types: 32021 continuous, 2900 integer (2900 binary)
Coefficient statistics:
  Matrix range     [1e-04, 1e+05]
  QMatrix range    [2e-03, 8e-03]
  QLMatrix range   [9e-02, 6e+01]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+05]
Presolve removed 54904 rows and 14730 columns
Presolve time: 0.47s
Presolved: 12431 rows, 20191 columns, 69600 nonzeros
Presolved model has 2800 quadratic constraint(s)
Variable types: 17294 continuous, 2897 integer (2897 binary)

Root relaxation: objective 3.468278e+04, 10061 iterations, 0.33 seconds (0.49 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 34682.7837    0   37          - 34682.7837      -     -    0s
     0     0 359944.195    0  824          - 359944.195      -     -    1s
     0     0 406368.230    0  799          - 406368.230      -     -    1s
     0     0 714066.624    0  874          - 714066.624      -     -    2s
     0     0 714208.023    0  633          - 714208.023      -     -    2s
     0     0 715240.014    0  571          - 715240.014      -     -    2s
     0     0 715296.080    0  572          - 715296.080      -     -    2s
     0     0 715787.762    0  545          - 715787.762      -     -    2s
     0     0 715803.054    0  545          - 715803.054      -     -    3s
     0     2 715880.691    0  545          - 715880.691      -     -    3s
   162   181 718007.852   33  493          - 716666.063      -  60.5    5s
H  979   658                    719786.09995 716666.063  0.43%  26.2    7s
*  979   658             251    719786.09995 716666.063  0.43%  26.3    7s
  1091   614 718742.995  184  545 719786.100 716676.918  0.43%  28.2   11s
  1102   621 717932.940   11  432 719786.100 716686.204  0.43%  27.9   15s
  1116   631 716826.796   17  481 719786.100 716751.629  0.42%  27.6   20s
  1182   677 718112.986   20  461 719786.100 716820.450  0.41%  51.3   25s
  1351   815 718321.087   41  357 719786.100 716820.450  0.41%  62.8   30s
  1747  1034 719442.102   99  182 719786.100 716820.450  0.41%  63.9   35s
  2329  1153     cutoff  180      719786.100 716820.615  0.41%  52.2   40s
  2817  1260 719627.771  208    - 719786.100 716823.233  0.41%  51.9   45s
  3521  2034 718889.464   94  161 719786.100 716823.233  0.41%  56.5   50s
  4171  2662 717848.891  183    - 719786.100 716829.842  0.41%  52.7   55s
  5355  3836 717026.615   27  258 719786.100 716841.852  0.41%  50.7   60s
  7520  5419 717184.334  121    - 719786.100 716854.260  0.41%  45.7   65s
  8348  6879 717883.662   87  120 719786.100 716861.681  0.41%  45.1   70s
  9982  7852 717098.347  125    - 719786.100 716865.542  0.41%  43.6   75s
 11021  9518 717114.250   52  129 719786.100 716869.192  0.41%  42.9   81s
 12501 11089 717295.037   51  153 719786.100 716873.296  0.40%  42.9   87s
 13624 11865 716992.573   20  185 719786.100 716875.165  0.40%  41.8   90s
 14451 11922 716929.931   33  148 719786.100 716876.358  0.40%  41.8  103s
 14455 12307 716930.269   34  148 719786.100 716876.358  0.40%  41.8  106s
 14903 12914 718065.742  153    - 719786.100 716877.310  0.40%  41.6  110s
 15988 13348 717882.133  134    - 719786.100 716878.614  0.40%  41.2  115s
 16952 15112 718778.968  102  121 719786.100 716879.431  0.40%  40.8  120s
 18669 16591 717242.427   28  174 719786.100 716880.828  0.40%  39.8  127s
 19317 16637 717845.629  128    - 719786.100 716881.173  0.40%  39.6  130s
 20258 17918 718170.017  126    - 719786.100 716882.192  0.40%  39.5  135s
 21671 19280 717192.115   30  154 719786.100 716883.733  0.40%  39.3  141s
 22655 19686 717170.102  108    - 719786.100 716884.787  0.40%  39.3  145s
 23934 21226 716996.549   55  140 719786.100 716885.997  0.40%  39.0  151s
 24779 21718 717108.121   22  162 719786.100 716886.524  0.40%  38.9  155s
 26091 22955 716969.895   42  156 719786.100 716887.519  0.40%  38.9  162s
 26709 23607 717104.250   31  165 719786.100 716887.792  0.40%  39.0  165s
 28022 24474 717109.596  104    - 719786.100 716888.306  0.40%  39.1  170s
 29199 25803 717145.177   45  122 719786.100 716889.617  0.40%  38.9  175s
 30237 26473 717378.152   72  122 719786.100 716889.944  0.40%  39.2  180s
 30772 27117 717529.071  109    - 719786.100 716890.083  0.40%  39.2  185s
 32247 28692 718249.704   63  118 719786.100 716891.171  0.40%  39.5  191s
 33196 29461 717004.340   25  144 719786.100 716891.639  0.40%  39.3  195s
 34078 30274 717080.929   40  108 719786.100 716892.077  0.40%  39.2  200s
 35244 30854 717716.955  124    - 719786.100 716892.244  0.40%  39.3  205s
 36189 31636 717913.026   99    - 719786.100 716893.016  0.40%  39.4  211s
 36813 32351 719038.258  100    - 719786.100 716893.737  0.40%  39.4  216s
 38087 33786 719608.150   97    - 719786.100 716894.855  0.40%  39.3  223s
 38658 33838 718702.378  105    - 719786.100 716894.999  0.40%  39.2  226s
 38988 34580 718086.091  116    - 719786.100 716895.399  0.40%  39.3  230s
 39791 35233 717257.269   26  118 719786.100 716895.817  0.40%  39.2  235s
 40524 35777 718387.177  110    - 719786.100 716896.530  0.40%  39.5  240s
 41625 36335 718938.100   94    - 719786.100 716897.147  0.40%  39.9  246s
 42415 37036 716913.157   52    - 719786.100 716897.997  0.40%  39.9  251s
 42817 38057 717087.591   73    7 719786.100 716898.359  0.40%  39.9  256s
 43655 38768 717134.912   63   63 719786.100 716898.850  0.40%  40.0  261s
 44469 39239 717308.576   51   94 719786.100 716899.291  0.40%  40.0  265s
 45263 40028 717225.896   78    - 719786.100 716899.469  0.40%  40.0  270s
 46458 41158 717026.578   30   90 719786.100 716900.347  0.40%  39.9  276s
 47337 41872 716991.764   42   75 719786.100 716901.029  0.40%  39.9  280s
 48158 42291 716944.216   56   12 719786.100 716901.487  0.40%  40.0  285s
 49249 43423 719534.832  103    - 719786.100 716902.036  0.40%  40.3  293s
 49714 43461          -   81      719786.100 716902.059  0.40%  40.4  295s
 50524 44436 717677.518   43   87 719786.100 716902.457  0.40%  40.5  301s
 51263 44934 717003.404   47    - 719786.100 716902.790  0.40%  40.8  305s
 52009 45429 717657.126   48    - 719786.100 716903.075  0.40%  41.1  310s
 53027 46594 717476.172   55   11 719786.100 716903.475  0.40%  41.4  317s
