
Gurobi 11.0.3 (linux64) logging started Sat Nov 23 18:42:01 2024

Set parameter LogFile to value "/home/yihong/Coding/OR_SUC/SUC_results_bigM100000_thread4/case24_ieee_rts_theta0.5_epsilon0.025_gurobi_seed870000_num_gen100_N_WDR150_load_scaling_factor1_proposed_T24quadra_cost.txt"
Set parameter TimeLimit to value 3600
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64 - "Ubuntu 20.04.6 LTS")

CPU model: AMD EPYC 7532 32-Core Processor, instruction set [SSE2|AVX|AVX2]
Thread count: 64 physical cores, 128 logical processors, using up to 4 threads

Optimize a model with 53864 rows, 29911 columns and 911262 nonzeros
Model fingerprint: 0x13592d6d
Model has 2400 quadratic constraints
Variable types: 27511 continuous, 2400 integer (2400 binary)
Coefficient statistics:
  Matrix range     [3e-04, 2e+03]
  QMatrix range    [2e-03, 8e-03]
  QLMatrix range   [3e-01, 6e+01]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 9e+03]
Presolve removed 43728 rows and 12793 columns
Presolve time: 0.31s
Presolved: 10136 rows, 17118 columns, 54515 nonzeros
Presolved model has 2400 quadratic constraint(s)
Variable types: 14718 continuous, 2400 integer (2400 binary)

Root relaxation: objective 7.152467e+04, 8789 iterations, 0.24 seconds (0.33 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 71524.6658    0    -          - 71524.6658      -     -    0s
     0     0 372819.004    0  788          - 372819.004      -     -    1s
     0     0 629926.197    0  861          - 629926.197      -     -    1s
     0     0 629989.730    0  431          - 629989.730      -     -    1s
     0     0 630321.888    0  189          - 630321.888      -     -    1s
     0     0 630332.298    0  189          - 630332.298      -     -    1s
     0     0 630332.298    0  188          - 630332.298      -     -    1s
     0     0 630335.454    0  188          - 630335.454      -     -    2s
     0     2 630335.454    0  188          - 630335.454      -     -    2s
   343   367 632172.490   65  125          - 630342.785      -  24.0    5s
H  785   773                    632631.27096 630342.785  0.36%  18.2    6s
*  785   773             187    632631.27096 630342.785  0.36%  18.2    6s
   966   815 630944.051   81  161 632631.271 630369.285  0.36%  18.1   10s
   985   828 630423.850   24  205 632631.271 630369.285  0.36%  17.7   22s
  1119   994 630643.293   32  131 632631.271 630381.684  0.36%  41.2   25s
  2230  1490 632572.695  200    1 632631.271 630381.684  0.36%  52.0   30s
H 2600  1685                    632630.89631 630381.684  0.36%  48.9   31s
* 2600  1685             221    632630.89631 630381.684  0.36%  48.9   31s
  3358  2221 630792.009   44  135 632630.896 630398.027  0.35%  50.6   35s
  5155  4081 631214.952   75  108 632630.896 630410.040  0.35%  43.9   40s
  7578  6356 632044.342   92    9 632630.896 630415.996  0.35%  40.2   45s
 10299  8269 631723.886   61   70 632630.896 630422.917  0.35%  39.0   51s
 12009 10139 630569.707   99   58 632630.896 630424.643  0.35%  38.8   55s
 14653 11882 631864.284   63   87 632630.896 630430.377  0.35%  39.3   74s
 14706 12303 631897.382   64   85 632630.896 630430.768  0.35%  39.3   76s
 15909 13296 630944.093   45   74 632630.896 630433.763  0.35%  39.5   80s
 17126 14664 631138.411  131    - 632630.896 630436.430  0.35%  40.4   85s
 19234 15906 631405.326  182    - 632630.896 630440.833  0.35%  39.3   90s
 20959 17667 632612.484   93    1 632630.896 630443.464  0.35%  39.3   95s
 22865 18873 632492.246  115    - 632630.896 630444.797  0.35%  40.0  100s
 24433 20348 631392.877   95    - 632630.896 630447.223  0.35%  41.0  105s
 25961 22098 631661.608  104    7 632630.896 630448.507  0.34%  41.3  110s
 27584 23469 631223.621   57   13 632630.896 630450.705  0.34%  42.3  115s
 29152 24608 630824.139   50   33 632630.896 630453.458  0.34%  42.2  120s
 31040 26399 632591.357   90    - 632630.896 630455.195  0.34%  42.5  126s
 32939 27836 631366.950   89    - 632630.896 630455.947  0.34%  42.3  130s
 34989 29877 631809.507   90   10 632630.896 630457.152  0.34%  42.0  135s
 36961 31016 630819.684   74    - 632630.896 630459.012  0.34%  41.9  140s
 38406 32483     cutoff  109      632630.896 630460.361  0.34%  42.6  146s
 39821 33711 631115.526   44   22 632630.896 630462.792  0.34%  42.6  150s
 41093 34566 632004.026   87    2 632630.896 630463.811  0.34%  42.8  155s
 42759 36169 631764.629   51   24 632630.896 630466.313  0.34%  43.1  161s
 43963 37265 630773.285   34   29 632630.896 630468.090  0.34%  43.3  165s
 45420 38323 631836.648   93    - 632630.896 630469.203  0.34%  43.3  170s
 47094 39467 630963.855   88    - 632630.896 630471.395  0.34%  43.4  175s
 48797 41300 630745.962   35   13 632630.896 630473.168  0.34%  43.4  181s
 50126 42654 630846.331   78    9 632630.896 630474.445  0.34%  43.5  185s
 51637 43819 632601.585   91    5 632630.896 630475.877  0.34%  43.4  190s
 53455 45172 631832.312   98    3 632630.896 630477.805  0.34%  44.0  195s
 54738 46463 630931.078   43   10 632630.896 630479.518  0.34%  44.1  200s
 56598 47654 632624.856   79    - 632630.896 630479.973  0.34%  44.0  205s
 57672 48810 630897.640   45    5 632630.896 630480.751  0.34%  44.0  210s
 59607 50700 630777.891   48    7 632630.896 630481.873  0.34%  44.0  216s
 61033 51626 631212.312   42   28 632630.896 630482.747  0.34%  43.9  221s
 62201 52733 631062.671   95   19 632630.896 630483.300  0.34%  44.0  226s
 63570 53859 631309.765   44   35 632630.896 630483.927  0.34%  44.0  230s
 64979 54912 631458.901   69   23 632630.896 630485.142  0.34%  43.9  236s
 66183 55989 630741.466   44   18 632630.896 630486.192  0.34%  44.0  240s
 67395 57061 630653.439   77   50 632630.896 630486.978  0.34%  44.0  245s
 68856 58493 630988.264   81    6 632630.896 630488.241  0.34%  44.0  250s
 70268 59459 631083.657   78    - 632630.896 630488.835  0.34%  44.0  255s
 71495 60823 632394.701  225    - 632630.896 630489.481  0.34%  43.9  260s
 73172 62095 630618.999   65    1 632630.896 630490.097  0.34%  43.8  266s
 74667 63531 630973.143   30   39 632630.896 630490.748  0.34%  43.8  271s
 75988 64288 631666.082   94    - 632630.896 630490.958  0.34%  43.6  275s
 76891 65299 630730.040   81    8 632630.896 630491.307  0.34%  43.6  281s
 77635 65939 632559.544   92    - 632630.896 630491.370  0.34%  43.9  285s
 78899 67071 632318.855  100   14 632630.896 630491.580  0.34%  43.9  291s
 79651 67769 631564.620   89    - 632630.896 630491.896  0.34%  43.9  295s
 81163 69159 630817.744   38   57 632630.896 630492.121  0.34%  43.9  302s
 81946 69990 630508.212  102   25 632630.896 630492.184  0.34%  43.8  305s
 83161 70717 631011.001  155    - 632630.896 630492.295  0.34%  43.6  310s
 84384 72045 630917.501  153    2 632630.896 630492.558  0.34%  43.5  316s
 85173 72570 631275.970   90    - 632630.896 630492.707  0.34%  43.5  320s
 86583 73888     cutoff  124      632630.896 630492.889  0.34%  43.5  327s
 87264 74408 630511.297   93   24 632630.896 630493.085  0.34%  43.5  330s
 88009 75054 630556.107   65    4 632630.896 630493.255  0.34%  43.5  335s
 88824 75739          -  137      632630.896 630493.300  0.34%  43.5  340s
 89669 76334 632380.759   82    - 632630.896 630493.444  0.34%  43.6  345s
 90693 77059 630688.676  153    - 632630.896 630493.648  0.34%  43.5  350s
 91440 77639 631804.042   76    - 632630.896 630493.762  0.34%  43.4  355s
 92328 78249 630633.974  174    - 632630.896 630493.875  0.34%  43.4  361s
 92354 78262 630673.014  177    - 632630.896 630493.875  0.34%  43.4  365s
 93060 79116 632567.152   92    - 632630.896 630493.912  0.34%  43.5  372s
 93543 79296 630549.111   64   23 632630.896 630494.003  0.34%  43.6  391s
 93718 80028 630551.748   77    3 632630.896 630494.017  0.34%  43.6  395s
 94653 80607 632544.618   80    - 632630.896 630494.123  0.34%  43.6  400s
 95733 81263 632561.390  162    - 632630.896 630494.242  0.34%  43.6  405s
 96656 82339 630512.301   93   27 632630.896 630494.351  0.34%  43.8  410s
 97272 82925 631080.201  154    - 632630.896 630494.398  0.34%  43.8  415s
 98407 83520 632389.761  130    - 632630.896 630494.483  0.34%  43.9  420s
 99546 84853 631033.683  103    7 632630.896 630494.613  0.34%  44.0  427s
 100273 85529 631873.501   57   34 632630.896 630494.678  0.34%  44.0  432s
 101049 86139 630866.818  110    2 632630.896 630494.755  0.34%  43.9  436s
 101808 86928 630847.494   89    4 632630.896 630494.882  0.34%  44.0  442s
 102127 86959 630552.707  144    - 632630.896 630494.884  0.34%  44.0  445s
 102459 87001 630792.722  187    - 632630.896 630494.884  0.34%  43.9  453s
 102766 87688 632093.853  115    3 632630.896 630494.909  0.34%  43.9  455s
 103610 88270 630528.503   48    6 632630.896 630494.951  0.34%  43.8  462s
 104338 88949 630660.890   75    6 632630.896 630495.053  0.34%  43.9  467s
 105191 89524 630588.526   56    1 632630.896 630495.126  0.34%  44.0  473s
 105239 89539 631247.623   72    - 632630.896 630495.126  0.34%  44.0  475s
 106113 90218 631999.037   94    - 632630.896 630495.155  0.34%  44.1  480s
 107015 90998 632517.774  145    - 632630.896 630495.262  0.34%  44.1  485s
 107595 91725 631590.269  131    - 632630.896 630495.346  0.34%  44.1  490s
 108474 92408 631137.180   58   16 632630.896 630495.461  0.34%  44.1  496s
 109282 93190 630507.820  104   12 632630.896 630495.583  0.34%  44.1  501s
 110185 93852 632270.267  118    2 632630.896 630495.658  0.34%  44.1  508s
 110660 93868 632573.798  174    - 632630.896 630495.685  0.34%  44.1  510s
 111724 95222 631721.332   89    1 632630.896 630495.783  0.34%  44.1  516s
 112669 95753 631400.479   75   13 632630.896 630495.850  0.34%  44.1  524s
 112703 95759          -   67      632630.896 630495.850  0.34%  44.1  525s
 113291 96377 630501.501   35   23 632630.896 630495.911  0.34%  44.3  533s
 113462 96384          -   60      632630.896 630495.911  0.34%  44.3  535s
 114108 96945 631716.199   89    8 632630.896 630495.921  0.34%  44.5  545s
 114833 97660 630751.128  109    3 632630.896 630495.970  0.34%  44.6  552s
 115598 98149 631202.743   78    - 632630.896 630496.015  0.34%  44.6  557s
 116308 98242 630682.656   70    - 632630.896 630496.114  0.34%  44.7  561s
 116644 98755 631966.244  115    - 632630.896 630496.129  0.34%  44.7  565s
 117105 99452 631708.919   79    - 632630.896 630496.164  0.34%  44.7  570s
 117824 100185 631727.222  130   19 632630.896 630496.227  0.34%  44.7  575s
 118786 100300 630522.279   53    - 632630.896 630496.301  0.34%  44.6  584s
 118803 100304 630597.802   66    - 632630.896 630496.301  0.34%  44.6  585s
 119141 100745 632563.048  158    - 632630.896 630496.317  0.34%  44.7  591s
 119524 101234 631334.387   83    - 632630.896 630496.342  0.34%  44.7  595s
 119986 101263 630749.245  115    - 632630.896 630496.346  0.34%  44.9  600s
 120046 101290 632091.727  145    - 632630.896 630496.346  0.34%  44.9  605s
 120135 102008 630685.915  130   35 632630.896 630496.359  0.34%  44.9  611s
 121019 102614 632374.893   78   14 632630.896 630496.429  0.34%  44.9  617s
 121655 103439 630771.373  157    2 632630.896 630496.454  0.34%  44.9  621s
 122716 104227 630506.224   93    4 632630.896 630496.502  0.34%  44.8  628s
 122802 104230 632228.365  176    - 632630.896 630496.502  0.34%  44.7  630s
 123124 104256 631991.006   96    - 632630.896 630496.511  0.34%  44.8  635s
